date,side,entity,category,eth,items,share_pct
2026-07-17,entry,(unmapped),,1415894,21335,54.5
2026-07-17,entry,Lido,Liquid Staking,720576,22518,27.7
2026-07-17,entry,Kraken,CEX,384167,1028,14.8
2026-07-17,entry,Bitbank,CEX,78395,77,3
2026-07-17,entry,deepspacechase.eth,Solo Staker,32,1,0
2026-07-18,entry,(unmapped),,1211455,18653,47.4
2026-07-18,entry,Lido,Liquid Staking,715808,22369,28
2026-07-18,entry,Kraken,CEX,382876,1004,15
2026-07-18,entry,OKX,CEX,89290,94,3.5
2026-07-18,entry,Bitbank,CEX,78395,77,3.1
2026-07-18,entry,Upbit,CEX,59648,1864,2.3
2026-07-18,entry,Revolut,CEX,16480,515,0.6
2026-07-18,entry,deepspacechase.eth,Solo Staker,32,1,0
2026-07-18,exit,(unmapped),,294,7,100
2026-07-19,entry,(unmapped),,1213914,18735,48.1
2026-07-19,entry,Lido,Liquid Staking,680800,21275,27
2026-07-19,entry,Kraken,CEX,382363,1003,15.2
2026-07-19,entry,OKX,CEX,89504,95,3.6
2026-07-19,entry,Bitbank,CEX,78395,77,3.1
2026-07-19,entry,Upbit,CEX,59744,1867,2.4
2026-07-19,entry,Revolut,CEX,16416,513,0.7
2026-07-19,entry,deepspacechase.eth,Solo Staker,32,1,0
2026-07-19,exit,(unmapped),,1184,37,100
